STNAME,CTYNAME,YEAR,POPULATION,Deaths,Death Rate (%),Indicator
New York,Warren County,2009,66021,0.0,0.0,Control
New York,Washington County,2009,62753,8.0,0.012748394499067773,Control
New York,Wayne County,2009,91291,1.0,0.0010953982320272536,Control
New York,Westchester County,2009,955962,66.0,0.0069040401187494905,Control
New York,Wyoming County,2009,41398,8.0,0.019324605053384222,Control
New York,Yates County,2009,24482,7.0,0.028592435258557307,Control
New York,Albany County,2010,304085,24.0,0.007892530049163885,Control
New York,Allegany County,2010,48973,7.0,0.014293590345700692,Control
New York,Bronx County,2010,1386929,100.0,0.007210174421329426,Control
New York,Broome County,2010,200474,16.0,0.007981084828955376,Control
New York,Cattaraugus County,2010,80220,4.0,0.004986287708800797,Control
New York,Cayuga County,2010,79905,5.0,0.006257430698955009,Control
New York,Chautauqua County,2010,134726,7.0,0.005195730593946232,Control
New York,Chemung County,2010,88895,2.0,0.0022498453231340346,Control
New York,Chenango County,2010,50404,3.0,0.005951908578684231,Control
New York,Clinton County,2010,82099,1.0,0.0012180416326630045,Control
New York,Columbia County,2010,63035,4.0,0.006345680970889189,Control
New York,Cortland County,2010,49277,1.0,0.0020293443188505794,Control
New York,Delaware County,2010,47888,4.0,0.00835282325425994,Control
New York,Dutchess County,2010,297721,47.0,0.01578659214499481,Control
New York,Erie County,2010,919160,74.0,0.00805082901779886,Control
New York,Essex County,2010,39359,2.0,0.005081429914377906,Control
New York,Franklin County,2010,51642,3.0,0.005809225049378413,Control
New York,Fulton County,2010,55453,4.0,0.007213315780931599,Control
New York,Genesee County,2010,59932,6.0,0.010011346192351332,Control
New York,Greene County,2010,49137,7.0,0.014245883957099538,Control
New York,Hamilton County,2010,4852,6.0,0.1236603462489695,Control
New York,Herkimer County,2010,64470,2.0,0.003102218085931441,Control
New York,Jefferson County,2010,116609,4.0,0.003430266960526203,Control
New York,Kings County,2010,2509954,175.0,0.006972239331876202,Control
New York,Lewis County,2010,27072,6.0,0.022163120567375887,Control
New York,Livingston County,2010,65226,5.0,0.007665654800233036,Control
New York,Madison County,2010,73442,4.0,0.005446474769205631,Control
New York,Monroe County,2010,744589,57.0,0.007655229932217639,Control
New York,Montgomery County,2010,50312,1.0,0.0019875973922722215,Control
New York,Nassau County,2010,1341642,91.0,0.006782733396837606,Control
New York,New York County,2010,1589041,92.0,0.005789655521789557,Control
New York,Niagara County,2010,216474,29.0,0.013396527989504513,Control
New York,Oneida County,2010,234752,0.0,0.0,Control
New York,Onondaga County,2010,467549,33.0,0.00705808375164956,Control
New York,Ontario County,2010,108183,4.0,0.0036974385994102583,Control
New York,Orange County,2010,373451,44.0,0.011782000851517335,Control
New York,Orleans County,2010,42850,0.0,0.0,Control
New York,Oswego County,2010,122141,1.0,0.0008187258987563553,Control
New York,Otsego County,2010,62260,9.0,0.014455509155155798,Control
New York,Putnam County,2010,99644,4.0,0.00401429087551684,Control
New York,Queens County,2010,2234574,127.0,0.005683409902737613,Control
New York,Rensselaer County,2010,159342,5.0,0.0031379046328024,Control
New York,Richmond County,2010,469607,57.0,0.012137808848675595,Control
New York,Rockland County,2010,312497,10.0,0.003200030720294915,Control
New York,St. Lawrence County,2010,111821,5.0,0.004471432020818987,Control
New York,Saratoga County,2010,220123,4.0,0.0018171658572707077,Control
New York,Schenectady County,2010,154867,3.0,0.0019371460672706258,Control
New York,Schoharie County,2010,32684,4.0,0.012238404112103782,Control
New York,Schuyler County,2010,18341,0.0,0.0,Control
New York,Seneca County,2010,35271,0.0,0.0,Control
New York,Steuben County,2010,98969,0.0,0.0,Control
New York,Suffolk County,2010,1494337,190.0,0.012714668779532328,Control
New York,Sullivan County,2010,77480,6.0,0.007743933918430563,Control
New York,Tioga County,2010,51012,6.0,0.011761938367442954,Control
New York,Tompkins County,2010,101743,2.0,0.0019657372005936528,Control
New York,Ulster County,2010,182422,9.0,0.00493361546304722,Control
New York,Warren County,2010,65668,6.0,0.009136870317353963,Control
New York,Washington County,2010,63359,0.0,0.0,Control
New York,Wayne County,2010,93751,1.0,0.0010666552890102505,Control
New York,Westchester County,2010,950760,48.0,0.005048592704783542,Control
New York,Wyoming County,2010,42125,6.0,0.014243323442136498,Control
New York,Yates County,2010,25376,5.0,0.019703656998738966,Control
New York,Albany County,2011,304627,26.0,0.008535028083525098,Control
New York,Allegany County,2011,48808,2.0,0.004097688903458449,Control
New York,Bronx County,2011,1396954,120.0,0.008590118214343493,Control
New York,Broome County,2011,199367,17.0,0.008526987916756535,Control
New York,Cattaraugus County,2011,79820,9.0,0.011275369581558507,Control
New York,Cayuga County,2011,79707,10.0,0.01254594954019095,Control
New York,Chautauqua County,2011,134227,1.0,0.0007450065933083508,Control
New York,Chemung County,2011,88916,11.0,0.01237122677583337,Control
New York,Chenango County,2011,50196,7.0,0.013945334289584827,Control
New York,Clinton County,2011,81735,11.0,0.013458126873432435,Control
New York,Columbia County,2011,62532,0.0,0.0,Control
New York,Cortland County,2011,49382,6.0,0.012150176177554574,Control
New York,Delaware County,2011,47584,6.0,0.012609280430396773,Control
New York,Dutchess County,2011,298141,33.0,0.011068588352490935,Control
New York,Erie County,2011,919901,103.0,0.011196857053095931,Control
New York,Essex County,2011,39277,9.0,0.022914173689436566,Control
New York,Franklin County,2011,51544,9.0,0.017460810181592425,Control
New York,Fulton County,2011,55116,3.0,0.0054430655345090355,Control
New York,Genesee County,2011,59894,2.0,0.003339232644338331,Control
New York,Greene County,2011,48858,4.0,0.008186990871505179,Control
New York,Hamilton County,2011,4827,9.0,0.18645121193287756,Control
New York,Herkimer County,2011,64388,6.0,0.009318506554016276,Control
New York,Jefferson County,2011,117809,7.0,0.005941821083278866,Control
New York,Kings County,2011,2540918,185.0,0.007280833147704884,Control
New York,Lewis County,2011,27021,6.0,0.022204951704230043,Control
New York,Livingston County,2011,64834,1.0,0.0015424005922818275,Control
New York,Madison County,2011,72898,1.0,0.0013717797470438147,Control
New York,Monroe County,2011,746821,66.0,0.008837459043063867,Control
New York,Montgomery County,2011,49919,7.0,0.014022716801217973,Control
New York,Nassau County,2011,1346207,146.0,0.010845286051847895,Control
New York,New York County,2011,1608717,122.0,0.007583683146258789,Control
New York,Niagara County,2011,215726,18.0,0.008343917747513049,Control
New York,Oneida County,2011,234226,1.0,0.00042693808543884965,Control
New York,Onondaga County,2011,467679,37.0,0.007911409321350756,Control
New York,Ontario County,2011,108616,4.0,0.003682698681593872,Control
New York,Orange County,2011,374171,40.0,0.010690299355107692,Control
New York,Orleans County,2011,42653,7.0,0.016411506810775328,Control
New York,Oswego County,2011,121987,10.0,0.008197594825678146,Control
New York,Otsego County,2011,61979,2.0,0.0032268994336791495,Control
New York,Putnam County,2011,99805,10.0,0.010019538099293623,Control
New York,Queens County,2011,2255261,134.0,0.005941662627961908,Control
New York,Rensselaer County,2011,159606,3.0,0.0018796285853915266,Control
New York,Richmond County,2011,471014,70.0,0.014861554009010347,Control
New York,Rockland County,2011,315448,13.0,0.004121122974309554,Control
New York,St. Lawrence County,2011,112290,8.0,0.0071244100097960636,Control
New York,Saratoga County,2011,221136,4.0,0.001808841617827943,Control
New York,Schenectady County,2011,154882,0.0,0.0,Control
New York,Schoharie County,2011,32619,3.0,0.00919709371838499,Control
New York,Schuyler County,2011,18421,2.0,0.01085717387763965,Control
New York,Seneca County,2011,35325,9.0,0.025477707006369428,Control
New York,Steuben County,2011,99117,4.0,0.004035634653994774,Control
New York,Suffolk County,2011,1498910,272.0,0.018146519804391192,Control
New York,Sullivan County,2011,77061,29.0,0.03763252488288499,Control
New York,Tioga County,2011,50889,4.0,0.007860244846626972,Control
New York,Tompkins County,2011,101861,7.0,0.006872110032298917,Control
New York,Ulster County,2011,182458,22.0,0.012057569413234827,Control
New York,Warren County,2011,65750,7.0,0.01064638783269962,Control
New York,Washington County,2011,63100,0.0,0.0,Control
New York,Wayne County,2011,93258,8.0,0.008578352527397113,Control
New York,Westchester County,2011,956423,87.0,0.009096393541351474,Control
New York,Wyoming County,2011,41852,2.0,0.0047787441460384215,Control
New York,Yates County,2011,25453,9.0,0.0353592896711586,Control
New York,Albany County,2012,305776,13.0,0.004251478206268641,Control
New York,Allegany County,2012,48221,5.0,0.010368926401360404,Control
New York,Bronx County,2012,1411087,151.0,0.010700970244924658,Control
New York,Broome County,2012,198689,16.0,0.008052786012310697,Control
New York,Cattaraugus County,2012,79354,8.0,0.01008140736446808,Control
New York,Cayuga County,2012,79524,7.0,0.008802374126049997,Control
New York,Chautauqua County,2012,133333,7.0,0.005250013125032813,Control
New York,Chemung County,2012,89162,17.0,0.01906641842937574,Control
New York,Chenango County,2012,49898,1.0,0.0020040883402140364,Control
New York,Clinton County,2012,81730,6.0,0.007341245564664138,Control
New York,Columbia County,2012,62450,5.0,0.008006405124099279,Control
New York,Cortland County,2012,49028,9.0,0.018356857306029206,Control
New York,Delaware County,2012,47217,7.0,0.014825168901031409,Control
New York,Dutchess County,2012,297028,49.0,0.016496761248097822,Control
New York,Erie County,2012,919998,87.0,0.00945654229683108,Control
New York,Essex County,2012,38884,3.0,0.007715255632136611,Control
New York,Franklin County,2012,51791,8.0,0.015446699233457551,Control
New York,Fulton County,2012,54851,4.0,0.007292483272866493,Control
New York,Genesee County,2012,59684,2.0,0.00335098183767844,Control
New York,Greene County,2012,48589,10.0,0.020580789890716007,Control
New York,Hamilton County,2012,4803,5.0,0.10410160316468874,Control
New York,Herkimer County,2012,64232,6.0,0.009341138373396438,Control
New York,Jefferson County,2012,120335,1.0,0.000831013420866747,Control
New York,Kings County,2012,2568538,201.0,0.007825463356975836,Control
New York,Lewis County,2012,27190,6.0,0.02206693637366679,Control
New York,Livingston County,2012,64780,9.0,0.01389317690645261,Control
New York,Madison County,2012,72438,7.0,0.009663436317954665,Control
New York,Monroe County,2012,747468,72.0,0.009632519385445263,Control
New York,Montgomery County,2012,49836,6.0,0.012039489525644112,Control
New York,Nassau County,2012,1349753,157.0,0.011631757810503107,Control
New York,New York County,2012,1624573,178.0,0.010956725244110298,Control
New York,Niagara County,2012,214724,27.0,0.012574281403103519,Control
New York,Oneida County,2012,233778,9.0,0.003849806226419937,Control
New York,Onondaga County,2012,467138,60.0,0.01284417024519521,Control
New York,Ontario County,2012,108641,7.0,0.006443239660901501,Control
New York,Orange County,2012,373795,48.0,0.012841263259273131,Control
New York,Orleans County,2012,42396,5.0,0.01179356543070101,Control
New York,Oswego County,2012,121469,13.0,0.010702319110225655,Control
New York,Otsego County,2012,61763,8.0,0.012952738694687759,Control
New York,Putnam County,2012,99600,15.0,0.015060240963855422,Control
New York,Queens County,2012,2271920,128.0,0.005634001197225255,Control
New York,Rensselaer County,2012,159466,10.0,0.006270929226292752,Control
New York,Richmond County,2012,470597,77.0,0.016362195254113393,Control
