YEAR,STNAME,CTYNAME,Death Rate (%),POPULATION,Indicator
2003,Oklahoma,Latimer County,0.011824833142841691,10496,Control
2003,Oklahoma,Le Flore County,0.011824833142841691,48429,Control
2003,Oklahoma,Lincoln County,0.011824833142841691,32064,Control
2003,Oklahoma,Logan County,0.011824833142841691,35393,Control
2003,Oklahoma,Love County,0.011824833142841691,8843,Control
2003,Oklahoma,McClain County,0.011824833142841691,28575,Control
2003,Oklahoma,McCurtain County,0.011824833142841691,33773,Control
2003,Oklahoma,McIntosh County,0.011824833142841691,19472,Control
2003,Oklahoma,Major County,0.011824833142841691,7301,Control
2003,Oklahoma,Marshall County,0.011824833142841691,13629,Control
2003,Oklahoma,Mayes County,0.011824833142841691,38660,Control
2003,Oklahoma,Murray County,0.011824833142841691,12565,Control
2003,Oklahoma,Muskogee County,0.011824833142841691,69950,Control
2003,Oklahoma,Noble County,0.011824833142841691,11237,Control
2003,Oklahoma,Nowata County,0.011824833142841691,10776,Control
2003,Oklahoma,Okfuskee County,0.011824833142841691,11538,Control
2003,Oklahoma,Oklahoma County,0.01108408237098867,676646,Control
2003,Oklahoma,Okmulgee County,0.011824833142841691,39582,Control
2003,Oklahoma,Osage County,0.011824833142841691,44842,Control
2003,Oklahoma,Ottawa County,0.011824833142841691,32411,Control
2003,Oklahoma,Pawnee County,0.011824833142841691,16616,Control
2003,Oklahoma,Payne County,0.011824833142841691,74873,Control
2003,Oklahoma,Pittsburg County,0.011824833142841691,43688,Control
2003,Oklahoma,Pontotoc County,0.011824833142841691,35146,Control
2003,Oklahoma,Pottawatomie County,0.011824833142841691,67544,Control
2003,Oklahoma,Pushmataha County,0.011824833142841691,11535,Control
2003,Oklahoma,Roger Mills County,0.011824833142841691,3154,Control
2003,Oklahoma,Rogers County,0.011824833142841691,76890,Control
2003,Oklahoma,Seminole County,0.011824833142841691,24093,Control
2003,Oklahoma,Sequoyah County,0.011824833142841691,39634,Control
2003,Oklahoma,Stephens County,0.011824833142841691,42255,Control
2003,Oklahoma,Texas County,0.011824833142841691,19847,Control
2003,Oklahoma,Tillman County,0.011824833142841691,8747,Control
2003,Oklahoma,Tulsa County,0.01755667294025113,569584,Control
2003,Oklahoma,Wagoner County,0.011824833142841691,61085,Control
2003,Oklahoma,Washington County,0.011824833142841691,48911,Control
2003,Oklahoma,Washita County,0.011824833142841691,11226,Control
2003,Oklahoma,Woods County,0.011824833142841691,8641,Control
2003,Oklahoma,Woodward County,0.011824833142841691,18416,Control
2004,Oklahoma,Adair County,0.015501970657057192,21371,Control
2004,Oklahoma,Alfalfa County,0.015501970657057192,5748,Control
2004,Oklahoma,Atoka County,0.015501970657057192,14290,Control
2004,Oklahoma,Beaver County,0.015501970657057192,5452,Control
2004,Oklahoma,Beckham County,0.015501970657057192,18164,Control
2004,Oklahoma,Blaine County,0.015501970657057192,12702,Control
2004,Oklahoma,Bryan County,0.015501970657057192,37367,Control
2004,Oklahoma,Caddo County,0.015501970657057192,29903,Control
2004,Oklahoma,Canadian County,0.010581898604247575,94501,Control
2004,Oklahoma,Carter County,0.015501970657057192,46604,Control
2004,Oklahoma,Cherokee County,0.015501970657057192,44129,Control
2004,Oklahoma,Choctaw County,0.015501970657057192,15168,Control
2004,Oklahoma,Cimarron County,0.015501970657057192,2794,Control
2004,Oklahoma,Cleveland County,0.004496948820225477,222373,Control
2004,Oklahoma,Coal County,0.015501970657057192,5836,Control
2004,Oklahoma,Comanche County,0.015501970657057192,113630,Control
2004,Oklahoma,Cotton County,0.015501970657057192,6394,Control
2004,Oklahoma,Craig County,0.015501970657057192,14815,Control
2004,Oklahoma,Creek County,0.022014147758959757,68138,Control
2004,Oklahoma,Custer County,0.015501970657057192,25339,Control
2004,Oklahoma,Delaware County,0.015501970657057192,38797,Control
2004,Oklahoma,Dewey County,0.015501970657057192,4512,Control
2004,Oklahoma,Ellis County,0.015501970657057192,3909,Control
2004,Oklahoma,Garfield County,0.015501970657057192,57169,Control
2004,Oklahoma,Garvin County,0.015501970657057192,26787,Control
2004,Oklahoma,Grady County,0.02086419495503766,47929,Control
2004,Oklahoma,Grant County,0.015501970657057192,4696,Control
2004,Oklahoma,Greer County,0.015501970657057192,5807,Control
2004,Oklahoma,Harmon County,0.015501970657057192,2939,Control
2004,Oklahoma,Harper County,0.015501970657057192,3341,Control
2004,Oklahoma,Haskell County,0.015501970657057192,11955,Control
2004,Oklahoma,Hughes County,0.015501970657057192,13762,Control
2004,Oklahoma,Jackson County,0.015501970657057192,27181,Control
2004,Oklahoma,Jefferson County,0.015501970657057192,6417,Control
2004,Oklahoma,Johnston County,0.015501970657057192,10243,Control
2004,Oklahoma,Kay County,0.015501970657057192,46590,Control
2004,Oklahoma,Kingfisher County,0.015501970657057192,13974,Control
2004,Oklahoma,Kiowa County,0.015501970657057192,9743,Control
2004,Oklahoma,Latimer County,0.015501970657057192,10515,Control
2004,Oklahoma,Le Flore County,0.015501970657057192,48618,Control
2004,Oklahoma,Lincoln County,0.015501970657057192,32062,Control
2004,Oklahoma,Logan County,0.015501970657057192,34968,Control
2004,Oklahoma,Love County,0.015501970657057192,8943,Control
2004,Oklahoma,McClain County,0.015501970657057192,29033,Control
2004,Oklahoma,McCurtain County,0.015501970657057192,33475,Control
2004,Oklahoma,McIntosh County,0.015501970657057192,19440,Control
2004,Oklahoma,Major County,0.015501970657057192,7256,Control
2004,Oklahoma,Marshall County,0.015501970657057192,13901,Control
2004,Oklahoma,Mayes County,0.015501970657057192,38843,Control
2004,Oklahoma,Murray County,0.015501970657057192,12500,Control
2004,Oklahoma,Muskogee County,0.02002775274308685,69903,Control
2004,Oklahoma,Noble County,0.015501970657057192,11179,Control
2004,Oklahoma,Nowata County,0.015501970657057192,10595,Control
2004,Oklahoma,Okfuskee County,0.015501970657057192,11436,Control
2004,Oklahoma,Oklahoma County,0.013089910032607113,679913,Control
2004,Oklahoma,Okmulgee County,0.015501970657057192,39548,Control
2004,Oklahoma,Osage County,0.015501970657057192,44773,Control
2004,Oklahoma,Ottawa County,0.015501970657057192,32388,Control
2004,Oklahoma,Pawnee County,0.015501970657057192,16472,Control
2004,Oklahoma,Payne County,0.015501970657057192,76044,Control
2004,Oklahoma,Pittsburg County,0.015501970657057192,43639,Control
2004,Oklahoma,Pontotoc County,0.015501970657057192,35234,Control
2004,Oklahoma,Pottawatomie County,0.015501970657057192,67405,Control
2004,Oklahoma,Pushmataha County,0.015501970657057192,11559,Control
2004,Oklahoma,Roger Mills County,0.015501970657057192,3212,Control
2004,Oklahoma,Rogers County,0.015501970657057192,78565,Control
2004,Oklahoma,Seminole County,0.015501970657057192,24180,Control
2004,Oklahoma,Sequoyah County,0.015501970657057192,40064,Control
2004,Oklahoma,Stephens County,0.015501970657057192,42446,Control
2004,Oklahoma,Texas County,0.015501970657057192,20198,Control
2004,Oklahoma,Tillman County,0.015501970657057192,8587,Control
2004,Oklahoma,Tulsa County,0.01743894168523591,567695,Control
2004,Oklahoma,Wagoner County,0.015501970657057192,61981,Control
2004,Oklahoma,Washington County,0.015501970657057192,48890,Control
2004,Oklahoma,Washita County,0.015501970657057192,11234,Control
2004,Oklahoma,Woods County,0.015501970657057192,8566,Control
2004,Oklahoma,Woodward County,0.015501970657057192,18720,Control
2005,Oklahoma,Adair County,0.014072458526996873,21599,Control
2005,Oklahoma,Alfalfa County,0.014072458526996873,5656,Control
2005,Oklahoma,Atoka County,0.014072458526996873,14288,Control
2005,Oklahoma,Beaver County,0.014072458526996873,5403,Control
2005,Oklahoma,Beckham County,0.014072458526996873,18630,Control
2005,Oklahoma,Blaine County,0.014072458526996873,12748,Control
2005,Oklahoma,Bryan County,0.014072458526996873,37658,Control
2005,Oklahoma,Caddo County,0.014072458526996873,29689,Control
2005,Oklahoma,Canadian County,0.014072458526996873,97147,Control
2005,Oklahoma,Carter County,0.014072458526996873,46632,Control
2005,Oklahoma,Cherokee County,0.014072458526996873,44408,Control
2005,Oklahoma,Choctaw County,0.014072458526996873,15087,Control
2005,Oklahoma,Cimarron County,0.014072458526996873,2708,Control
2005,Oklahoma,Cleveland County,0.006642017402085593,225835,Control
2005,Oklahoma,Coal County,0.014072458526996873,5690,Control
2005,Oklahoma,Comanche County,0.014072458526996873,111866,Control
2005,Oklahoma,Cotton County,0.014072458526996873,6449,Control
2005,Oklahoma,Craig County,0.014072458526996873,14995,Control
2005,Oklahoma,Creek County,0.014072458526996873,68059,Control
2005,Oklahoma,Custer County,0.014072458526996873,25501,Control
2005,Oklahoma,Delaware County,0.014072458526996873,38980,Control
2005,Oklahoma,Dewey County,0.014072458526996873,4398,Control
2005,Oklahoma,Ellis County,0.014072458526996873,3870,Control
2005,Oklahoma,Garfield County,0.014072458526996873,56940,Control
