STNAME,CTYNAME,YEAR,POPULATION
Illinois,Mason County,2001,15966
Illinois,Massac County,2001,15022
Illinois,Menard County,2001,12482
Illinois,Mercer County,2001,16898
Illinois,Monroe County,2001,28373
Illinois,Montgomery County,2001,30454
Illinois,Morgan County,2001,36293
Illinois,Moultrie County,2001,14274
Illinois,Ogle County,2001,51620
Illinois,Peoria County,2001,182235
Illinois,Perry County,2001,23019
Illinois,Piatt County,2001,16324
Illinois,Pike County,2001,17166
Illinois,Pope County,2001,4331
Illinois,Pulaski County,2001,7181
Illinois,Putnam County,2001,6062
Illinois,Randolph County,2001,34005
Illinois,Richland County,2001,16072
Illinois,Rock Island County,2001,148641
Illinois,St. Clair County,2001,255922
Illinois,Saline County,2001,26370
Illinois,Sangamon County,2001,190303
Illinois,Schuyler County,2001,7031
Illinois,Scott County,2001,5511
Illinois,Shelby County,2001,22613
Illinois,Stark County,2001,6302
Illinois,Stephenson County,2001,48443
Illinois,Tazewell County,2001,128132
Illinois,Union County,2001,18121
Illinois,Vermilion County,2001,83447
Illinois,Wabash County,2001,12758
Illinois,Warren County,2001,18446
Illinois,Washington County,2001,15236
Illinois,Wayne County,2001,17026
Illinois,White County,2001,15264
Illinois,Whiteside County,2001,60557
Illinois,Will County,2001,531215
Illinois,Williamson County,2001,61736
Illinois,Winnebago County,2001,280805
Illinois,Woodford County,2001,35557
Illinois,Adams County,2002,67765
Illinois,Alexander County,2002,9398
Illinois,Bond County,2002,17794
Illinois,Boone County,2002,44508
Illinois,Brown County,2002,6831
Illinois,Bureau County,2002,34995
Illinois,Calhoun County,2002,4974
Illinois,Carroll County,2002,16365
Illinois,Cass County,2002,13531
Illinois,Champaign County,2002,183102
Illinois,Christian County,2002,35022
Illinois,Clark County,2002,16904
Illinois,Clay County,2002,14147
Illinois,Clinton County,2002,35719
Illinois,Coles County,2002,52013
Illinois,Cook County,2002,5355574
Illinois,Crawford County,2002,20086
Illinois,Cumberland County,2002,11051
Illinois,DeKalb County,2002,92449
Illinois,De Witt County,2002,16546
Illinois,Douglas County,2002,19825
Illinois,DuPage County,2002,918864
Illinois,Edgar County,2002,19339
Illinois,Edwards County,2002,6799
Illinois,Effingham County,2002,34309
Illinois,Fayette County,2002,21490
Illinois,Ford County,2002,14087
Illinois,Franklin County,2002,38842
Illinois,Fulton County,2002,37488
Illinois,Gallatin County,2002,6175
Illinois,Greene County,2002,14588
Illinois,Grundy County,2002,38624
Illinois,Hamilton County,2002,8370
Illinois,Hancock County,2002,19590
Illinois,Hardin County,2002,4701
Illinois,Henderson County,2002,8103
Illinois,Henry County,2002,50166
Illinois,Iroquois County,2002,30698
Illinois,Jackson County,2002,58577
Illinois,Jasper County,2002,9972
Illinois,Jefferson County,2002,40028
Illinois,Jersey County,2002,21898
Illinois,Jo Daviess County,2002,22305
Illinois,Johnson County,2002,12715
Illinois,Kane County,2002,440157
Illinois,Kankakee County,2002,105416
Illinois,Kendall County,2002,61755
Illinois,Knox County,2002,54650
Illinois,Lake County,2002,671443
Illinois,LaSalle County,2002,111504
Illinois,Lawrence County,2002,16042
Illinois,Lee County,2002,35477
