STNAME,CTYNAME,YEAR,POPULATION
Oklahoma,Tillman County,2000,9244
Oklahoma,Tulsa County,2000,563854
Oklahoma,Wagoner County,2000,57703
Oklahoma,Washington County,2000,48977
Oklahoma,Washita County,2000,11500
Oklahoma,Woods County,2000,9042
Oklahoma,Woodward County,2000,18427
Oklahoma,Adair County,2001,21066
Oklahoma,Alfalfa County,2001,5926
Oklahoma,Atoka County,2001,13896
Oklahoma,Beaver County,2001,5641
Oklahoma,Beckham County,2001,19778
Oklahoma,Blaine County,2001,12022
Oklahoma,Bryan County,2001,36462
Oklahoma,Caddo County,2001,29874
Oklahoma,Canadian County,2001,89521
Oklahoma,Carter County,2001,45595
Oklahoma,Cherokee County,2001,43032
Oklahoma,Choctaw County,2001,15143
Oklahoma,Cimarron County,2001,3053
Oklahoma,Cleveland County,2001,212541
Oklahoma,Coal County,2001,5998
Oklahoma,Comanche County,2001,112236
Oklahoma,Cotton County,2001,6430
Oklahoma,Craig County,2001,14768
Oklahoma,Creek County,2001,67903
Oklahoma,Custer County,2001,25696
Oklahoma,Delaware County,2001,37643
Oklahoma,Dewey County,2001,4597
Oklahoma,Ellis County,2001,3896
Oklahoma,Garfield County,2001,57181
Oklahoma,Garvin County,2001,27021
Oklahoma,Grady County,2001,45844
Oklahoma,Grant County,2001,5019
Oklahoma,Greer County,2001,5837
Oklahoma,Harmon County,2001,3155
Oklahoma,Harper County,2001,3421
Oklahoma,Haskell County,2001,11755
Oklahoma,Hughes County,2001,13876
Oklahoma,Jackson County,2001,27890
Oklahoma,Jefferson County,2001,6646
Oklahoma,Johnston County,2001,10437
Oklahoma,Kay County,2001,47437
Oklahoma,Kingfisher County,2001,13843
Oklahoma,Kiowa County,2001,10022
Oklahoma,Latimer County,2001,10574
Oklahoma,Le Flore County,2001,48033
Oklahoma,Lincoln County,2001,32084
Oklahoma,Logan County,2001,34517
Oklahoma,Love County,2001,8729
Oklahoma,McClain County,2001,27787
Oklahoma,McCurtain County,2001,34030
Oklahoma,McIntosh County,2001,19450
Oklahoma,Major County,2001,7529
Oklahoma,Marshall County,2001,13312
Oklahoma,Mayes County,2001,38449
Oklahoma,Murray County,2001,12655
Oklahoma,Muskogee County,2001,69506
Oklahoma,Noble County,2001,11413
Oklahoma,Nowata County,2001,10594
Oklahoma,Okfuskee County,2001,11719
Oklahoma,Oklahoma County,2001,665401
Oklahoma,Okmulgee County,2001,39580
Oklahoma,Osage County,2001,44938
Oklahoma,Ottawa County,2001,33039
Oklahoma,Pawnee County,2001,16765
Oklahoma,Payne County,2001,71437
Oklahoma,Pittsburg County,2001,43349
Oklahoma,Pontotoc County,2001,34917
Oklahoma,Pottawatomie County,2001,66271
Oklahoma,Pushmataha County,2001,11653
Oklahoma,Roger Mills County,2001,3310
Oklahoma,Rogers County,2001,72974
Oklahoma,Seminole County,2001,24497
Oklahoma,Sequoyah County,2001,39228
Oklahoma,Stephens County,2001,42623
Oklahoma,Texas County,2001,20113
Oklahoma,Tillman County,2001,9190
Oklahoma,Tulsa County,2001,566789
Oklahoma,Wagoner County,2001,58758
Oklahoma,Washington County,2001,48875
Oklahoma,Washita County,2001,11377
Oklahoma,Woods County,2001,8846
Oklahoma,Woodward County,2001,18317
Oklahoma,Adair County,2002,21179
Oklahoma,Alfalfa County,2002,5886
Oklahoma,Atoka County,2002,13987
Oklahoma,Beaver County,2002,5564
Oklahoma,Beckham County,2002,19849
Oklahoma,Blaine County,2002,11628
Oklahoma,Bryan County,2002,36768
Oklahoma,Caddo County,2002,29828
Oklahoma,Canadian County,2002,90699
Oklahoma,Carter County,2002,45887
Oklahoma,Cherokee County,2002,43518
Oklahoma,Choctaw County,2002,15248
Oklahoma,Cimarron County,2002,2974
Oklahoma,Cleveland County,2002,215733
Oklahoma,Coal County,2002,5931
Oklahoma,Comanche County,2002,112009
Oklahoma,Cotton County,2002,6375
Oklahoma,Craig County,2002,14742
Oklahoma,Creek County,2002,68346
Oklahoma,Custer County,2002,25195
Oklahoma,Delaware County,2002,37935
Oklahoma,Dewey County,2002,4513
Oklahoma,Ellis County,2002,3954
Oklahoma,Garfield County,2002,57115
Oklahoma,Garvin County,2002,27040
Oklahoma,Grady County,2002,46620
Oklahoma,Grant County,2002,4931
Oklahoma,Greer County,2002,5861
Oklahoma,Harmon County,2002,3050
Oklahoma,Harper County,2002,3414
Oklahoma,Haskell County,2002,11728
Oklahoma,Hughes County,2002,13934
Oklahoma,Jackson County,2002,27347
Oklahoma,Jefferson County,2002,6508
Oklahoma,Johnston County,2002,10386
Oklahoma,Kay County,2002,47529
Oklahoma,Kingfisher County,2002,13816
Oklahoma,Kiowa County,2002,9949
Oklahoma,Latimer County,2002,10577
Oklahoma,Le Flore County,2002,48337
Oklahoma,Lincoln County,2002,32090
Oklahoma,Logan County,2002,34703
Oklahoma,Love County,2002,8793
Oklahoma,McClain County,2002,28018
Oklahoma,McCurtain County,2002,33915
Oklahoma,McIntosh County,2002,19501
Oklahoma,Major County,2002,7474
Oklahoma,Marshall County,2002,13533
Oklahoma,Mayes County,2002,38476
Oklahoma,Murray County,2002,12581
Oklahoma,Muskogee County,2002,69508
Oklahoma,Noble County,2002,11266
Oklahoma,Nowata County,2002,10552
Oklahoma,Okfuskee County,2002,11569
Oklahoma,Oklahoma County,2002,672324
Oklahoma,Okmulgee County,2002,39515
Oklahoma,Osage County,2002,44877
Oklahoma,Ottawa County,2002,32625
Oklahoma,Pawnee County,2002,16732
Oklahoma,Payne County,2002,72926
Oklahoma,Pittsburg County,2002,43767
Oklahoma,Pontotoc County,2002,35010
Oklahoma,Pottawatomie County,2002,66614
Oklahoma,Pushmataha County,2002,11607
Oklahoma,Roger Mills County,2002,3195
Oklahoma,Rogers County,2002,74960
Oklahoma,Seminole County,2002,24193
Oklahoma,Sequoyah County,2002,39401
Oklahoma,Stephens County,2002,42460
Oklahoma,Texas County,2002,20014
Oklahoma,Tillman County,2002,8810
Oklahoma,Tulsa County,2002,570207
Oklahoma,Wagoner County,2002,60178
Oklahoma,Washington County,2002,48988
Oklahoma,Washita County,2002,11263
Oklahoma,Woods County,2002,8837
Oklahoma,Woodward County,2002,18382
Oklahoma,Adair County,2003,21285
Oklahoma,Alfalfa County,2003,5800
Oklahoma,Atoka County,2003,14155
Oklahoma,Beaver County,2003,5519
Oklahoma,Beckham County,2003,19205
Oklahoma,Blaine County,2003,11188
Oklahoma,Bryan County,2003,36872
Oklahoma,Caddo County,2003,29925
Oklahoma,Canadian County,2003,92230
Oklahoma,Carter County,2003,46150
Oklahoma,Cherokee County,2003,43853
Oklahoma,Choctaw County,2003,15138
Oklahoma,Cimarron County,2003,2896
Oklahoma,Cleveland County,2003,219499
Oklahoma,Coal County,2003,5890
Oklahoma,Comanche County,2003,110484
Oklahoma,Cotton County,2003,6431
Oklahoma,Craig County,2003,14781
Oklahoma,Creek County,2003,68320
Oklahoma,Custer County,2003,25319
Oklahoma,Delaware County,2003,38504
Oklahoma,Dewey County,2003,4471
Oklahoma,Ellis County,2003,3909
Oklahoma,Garfield County,2003,57149
Oklahoma,Garvin County,2003,26964
Oklahoma,Grady County,2003,47080
Oklahoma,Grant County,2003,4865
Oklahoma,Greer County,2003,5781
Oklahoma,Harmon County,2003,2986
Oklahoma,Harper County,2003,3321
Oklahoma,Haskell County,2003,11870
Oklahoma,Hughes County,2003,13833
Oklahoma,Jackson County,2003,27203
Oklahoma,Jefferson County,2003,6466
Oklahoma,Johnston County,2003,10351
Oklahoma,Kay County,2003,47107
Oklahoma,Kingfisher County,2003,13961
Oklahoma,Kiowa County,2003,9859
Oklahoma,Latimer County,2003,10496
Oklahoma,Le Flore County,2003,48429
Oklahoma,Lincoln County,2003,32064
Oklahoma,Logan County,2003,35393
Oklahoma,Love County,2003,8843
Oklahoma,McClain County,2003,28575
Oklahoma,McCurtain County,2003,33773
Oklahoma,McIntosh County,2003,19472
Oklahoma,Major County,2003,7301
Oklahoma,Marshall County,2003,13629
Oklahoma,Mayes County,2003,38660
Oklahoma,Murray County,2003,12565
Oklahoma,Muskogee County,2003,69950
Oklahoma,Noble County,2003,11237
Oklahoma,Nowata County,2003,10776
Oklahoma,Okfuskee County,2003,11538
Oklahoma,Oklahoma County,2003,676646
Oklahoma,Okmulgee County,2003,39582
Oklahoma,Osage County,2003,44842
Oklahoma,Ottawa County,2003,32411
Oklahoma,Pawnee County,2003,16616
Oklahoma,Payne County,2003,74873
Oklahoma,Pittsburg County,2003,43688
Oklahoma,Pontotoc County,2003,35146
Oklahoma,Pottawatomie County,2003,67544
Oklahoma,Pushmataha County,2003,11535
Oklahoma,Roger Mills County,2003,3154
Oklahoma,Rogers County,2003,76890
Oklahoma,Seminole County,2003,24093
Oklahoma,Sequoyah County,2003,39634
Oklahoma,Stephens County,2003,42255
Oklahoma,Texas County,2003,19847
Oklahoma,Tillman County,2003,8747
Oklahoma,Tulsa County,2003,569584
Oklahoma,Wagoner County,2003,61085
Oklahoma,Washington County,2003,48911
Oklahoma,Washita County,2003,11226
Oklahoma,Woods County,2003,8641
Oklahoma,Woodward County,2003,18416
Oklahoma,Adair County,2004,21371
Oklahoma,Alfalfa County,2004,5748
Oklahoma,Atoka County,2004,14290
Oklahoma,Beaver County,2004,5452
Oklahoma,Beckham County,2004,18164
Oklahoma,Blaine County,2004,12702
Oklahoma,Bryan County,2004,37367
Oklahoma,Caddo County,2004,29903
Oklahoma,Canadian County,2004,94501
Oklahoma,Carter County,2004,46604
Oklahoma,Cherokee County,2004,44129
