STNAME,CTYNAME,YEAR,POPULATION,Deaths,Death Rate (%),Indicator
Colorado,Custer County,2013,4260,6.0,0.14084507042253522,Control
Colorado,Delta County,2013,30349,3.0,0.009885004448252003,Control
Colorado,Denver County,2013,649270,116.0,0.01786621898439786,Control
Colorado,Dolores County,2013,2033,6.0,0.2951303492375799,Control
Colorado,Douglas County,2013,306407,27.0,0.008811809129686985,Control
Colorado,Eagle County,2013,52814,3.0,0.005680312038474647,Control
Colorado,Elbert County,2013,23543,9.0,0.03822792337425137,Control
Colorado,El Paso County,2013,655178,107.0,0.016331439700356238,Control
Colorado,Fremont County,2013,46360,4.0,0.008628127696289905,Control
Colorado,Garfield County,2013,56945,0.0,0.0,Control
Colorado,Gilpin County,2013,5535,4.0,0.07226738934056007,Control
Colorado,Grand County,2013,14320,0.0,0.0,Control
Colorado,Gunnison County,2013,15597,4.0,0.025645957555940246,Control
Colorado,Hinsdale County,2013,803,2.0,0.24906600249066002,Control
Colorado,Huerfano County,2013,6465,8.0,0.12374323279195669,Control
Colorado,Jackson County,2013,1338,3.0,0.2242152466367713,Control
Colorado,Jefferson County,2013,552242,75.0,0.013581002531498873,Control
Colorado,Kiowa County,2013,1393,3.0,0.21536252692031588,Control
Colorado,Kit Carson County,2013,8259,4.0,0.0484320135609638,Control
Colorado,Lake County,2013,7276,0.0,0.0,Control
Colorado,La Plata County,2013,53432,1.0,0.0018715376553376255,Control
Colorado,Larimer County,2013,316426,58.0,0.01832972006093052,Control
Colorado,Las Animas County,2013,14404,2.0,0.013885031935573451,Control
Colorado,Lincoln County,2013,5435,8.0,0.14719411223551057,Control
Colorado,Logan County,2013,22182,8.0,0.03606527815345776,Control
Colorado,Mesa County,2013,147249,14.0,0.009507704636364253,Control
Colorado,Mineral County,2013,732,1.0,0.1366120218579235,Control
Colorado,Moffat County,2013,13129,8.0,0.06093381064818341,Control
Colorado,Montezuma County,2013,25575,4.0,0.015640273704789834,Control
