BUYER_STATE,BUYER_COUNTY,YEAR,MME
FL,BAY,2007,61255857.999262504
FL,BAY,2008,65665012.9212625
FL,BAY,2009,68131167.19293751
FL,BAY,2010,73912302.2531625
FL,BAY,2011,73505844.8476875
FL,BAY,2012,73272653.351325
FL,BAY,2013,76379516.77950001
FL,BAY,2014,86645174.0029125
FL,BRADFORD,2006,13424830.8949
FL,BRADFORD,2007,15854865.475125
FL,BRADFORD,2008,17501063.6835
FL,BRADFORD,2009,21250949.6668125
FL,BRADFORD,2010,26551078.9838625
FL,BRADFORD,2011,21271099.1925
FL,BRADFORD,2012,16872471.0225
FL,BRADFORD,2013,13760352.6375
FL,BRADFORD,2014,13171830.795
FL,BREVARD,2006,201186153.403075
FL,BREVARD,2007,246505683.9382375
FL,BREVARD,2008,317947599.2637875
FL,BREVARD,2009,365366249.71935
FL,BREVARD,2010,508840976.4944625
FL,BREVARD,2011,481720149.90375
FL,BREVARD,2012,363107377.34235
FL,BREVARD,2013,310121675.5176375
FL,BREVARD,2014,309296956.0606125
FL,BROWARD,2006,1222607389.6560626
FL,BROWARD,2007,1720337481.7214875
FL,BROWARD,2008,2180537488.6392627
FL,BROWARD,2009,2584508114.0166197
FL,BROWARD,2010,3026736844.585425
FL,BROWARD,2011,1492503447.6553874
FL,BROWARD,2012,809178909.6923625
FL,BROWARD,2013,591502285.96935
FL,BROWARD,2014,569999600.4909375
FL,CALHOUN,2006,1851905.823
FL,CALHOUN,2007,2021532.2535
FL,CALHOUN,2008,2225156.55
FL,CALHOUN,2009,2580235.47
FL,CALHOUN,2010,2722435.965
FL,CALHOUN,2011,2810688.7313625
FL,CALHOUN,2012,2793381.48
FL,CALHOUN,2013,2826420.5288625
FL,CALHOUN,2014,2960742.6975000002
FL,CHARLOTTE,2006,82123597.1579375
FL,CHARLOTTE,2007,103366666.8672
FL,CHARLOTTE,2008,142308398.400525
FL,CHARLOTTE,2009,191565348.6274875
FL,CHARLOTTE,2010,230654246.589525
FL,CHARLOTTE,2011,207165206.2881375
FL,CHARLOTTE,2012,120917427.198375
FL,CHARLOTTE,2013,82992538.080225
FL,CHARLOTTE,2014,82174947.690225
FL,CITRUS,2006,49646891.0293375
FL,CITRUS,2007,58420509.5731125
FL,CITRUS,2008,71761417.6846625
FL,CITRUS,2009,81649551.25245
FL,CITRUS,2010,111738273.3277875
FL,CITRUS,2011,148717253.4045375
FL,CITRUS,2012,101576393.30385
FL,CITRUS,2013,77398689.5368125
FL,CITRUS,2014,73705624.816575
FL,CLAY,2006,69327289.9772
FL,CLAY,2007,85815940.69482501
FL,CLAY,2008,98532925.9160125
FL,CLAY,2009,125011367.1661125
FL,CLAY,2010,144996735.7280625
FL,CLAY,2011,149491520.33715
FL,CLAY,2012,134424406.2445125
FL,CLAY,2013,108168341.2847625
FL,CLAY,2014,95418837.420675
FL,COLLIER,2006,107528680.73415
FL,COLLIER,2007,129910312.756925
FL,COLLIER,2008,147472347.386
FL,COLLIER,2009,202995696.267675
FL,COLLIER,2010,237663779.7535875
FL,COLLIER,2011,198903375.2560875
FL,COLLIER,2012,141917084.2426875
FL,COLLIER,2013,121062513.3206625
FL,COLLIER,2014,110104553.5518
FL,COLUMBIA,2006,27550681.7085875
FL,COLUMBIA,2007,30011436.1680125
FL,COLUMBIA,2008,37731017.1378125
FL,COLUMBIA,2009,40150096.770225
FL,COLUMBIA,2010,54609827.27295
FL,COLUMBIA,2011,50996453.025
FL,COLUMBIA,2012,49737844.83
FL,COLUMBIA,2013,43371389.460225
FL,COLUMBIA,2014,43490019.1088625
FL,DE SOTO,2006,7179580.0115
FL,DE SOTO,2007,7726090.7717925
FL,DE SOTO,2008,7953604.365
FL,DE SOTO,2009,9826920.24
FL,DE SOTO,2010,13087621.2375
FL,DE SOTO,2011,18280029.405
FL,DE SOTO,2012,16695973.7925
FL,DE SOTO,2013,12911400.7463625
FL,DE SOTO,2014,13080032.3513625
FL,DIXIE,2006,2952746.125
FL,DIXIE,2007,3098699.7413625
FL,DIXIE,2008,3247389.765
FL,DIXIE,2009,2874669.0413625
FL,DIXIE,2010,2657110.35
FL,DIXIE,2011,2559382.17
FL,DIXIE,2012,3326242.5943125
FL,DIXIE,2013,3489151.2865875
FL,DIXIE,2014,3425045.46
FL,DUVAL,2006,293452975.4726625
FL,DUVAL,2007,344954365.4414875
FL,DUVAL,2008,408809255.0861
FL,DUVAL,2009,534398118.6508125
FL,DUVAL,2010,765000296.9472001
FL,DUVAL,2011,659029698.1377751
FL,DUVAL,2012,555328079.6860125
FL,DUVAL,2013,479245856.25675
FL,DUVAL,2014,458931816.8174625
FL,ESCAMBIA,2006,96186447.3270125
FL,ESCAMBIA,2007,113832921.20252751
FL,ESCAMBIA,2008,116136843.9933875
FL,ESCAMBIA,2009,127790391.844725
FL,ESCAMBIA,2010,156708207.4941
FL,ESCAMBIA,2011,146310743.824275
FL,ESCAMBIA,2012,129016234.284
FL,ESCAMBIA,2013,120867662.35995
FL,ESCAMBIA,2014,128874831.8788125
FL,FLAGLER,2006,21015019.383675
FL,FLAGLER,2007,24313087.5877625
FL,FLAGLER,2008,30727470.41245
FL,FLAGLER,2009,45094206.1172625
FL,FLAGLER,2010,54742939.0545375
FL,FLAGLER,2011,58500274.695675
FL,FLAGLER,2012,54252292.179525
FL,FLAGLER,2013,48704706.1397625
FL,FLAGLER,2014,50287446.56385
FL,FRANKLIN,2006,2174577.223
FL,FRANKLIN,2007,2099076.5175
FL,FRANKLIN,2008,2152977.9473625002
FL,FRANKLIN,2009,1955352.12
FL,FRANKLIN,2010,2736876.3675
FL,FRANKLIN,2011,2695184.8163625
FL,FRANKLIN,2012,2741930.6925
FL,FRANKLIN,2013,3648692.2463625
FL,FRANKLIN,2014,3280546.59
FL,GADSDEN,2006,6021017.100225001
FL,GADSDEN,2007,7138511.4675
FL,GADSDEN,2008,6724820.623500001
FL,GADSDEN,2009,7168381.8568125
FL,GADSDEN,2010,8384369.197500001
FL,GADSDEN,2011,10053993.885
FL,GADSDEN,2012,8671229.3588625
FL,GADSDEN,2013,7827745.4625
FL,GADSDEN,2014,8248802.7525
FL,GILCHRIST,2006,4032605.95
FL,GILCHRIST,2007,4195956.2895
FL,GILCHRIST,2008,4955842.2
