STNAME,CTYNAME,YEAR,POPULATION,BUYER_COUNTY_x,BUYER_STATE_x,FIPS Code,State_x,BUYER_STATE_y,BUYER_COUNTY_y,MME,State_y
Arizona,GREENLEE,2009,8041,GREENLEE,AZ,4011,Arizona,AZ,GREENLEE,1335033.792,Arizona
Arizona,GREENLEE,2010,8342,GREENLEE,AZ,4011,Arizona,AZ,GREENLEE,1806066.825,Arizona
Arizona,GREENLEE,2011,8587,GREENLEE,AZ,4011,Arizona,AZ,GREENLEE,1563218.625,Arizona
Arizona,GREENLEE,2012,8764,GREENLEE,AZ,4011,Arizona,AZ,GREENLEE,1478646.7875,Arizona
Arizona,GREENLEE,2013,8918,GREENLEE,AZ,4011,Arizona,AZ,GREENLEE,1719970.3125,Arizona
Arizona,GREENLEE,2014,9356,GREENLEE,AZ,4011,Arizona,AZ,GREENLEE,1702671.1125,Arizona
Arizona,LA PAZ,2006,20118,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,6574601.020500001,Arizona
Arizona,LA PAZ,2007,20133,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,6792135.495,Arizona
Arizona,LA PAZ,2008,20005,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,7148771.6955,Arizona
Arizona,LA PAZ,2009,20012,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,7063366.1625,Arizona
Arizona,LA PAZ,2010,20499,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,7904572.726125,Arizona
Arizona,LA PAZ,2011,20606,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,8556663.4999875,Arizona
Arizona,LA PAZ,2012,20524,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,9502669.5043125,Arizona
Arizona,LA PAZ,2013,20526,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,9517609.62,Arizona
Arizona,LA PAZ,2014,20521,LA PAZ,AZ,4012,Arizona,AZ,LA PAZ,11413032.855,Arizona
Arizona,MARICOPA,2006,3776118,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,1025699797.2850376,Arizona
Arizona,MARICOPA,2007,3872962,MARICOPA,AZ,4013,Arizona,AZ,MARICOPA,1201326197.022075,Arizona
