STNAME,CTYNAME,YEAR,POPULATION
New York,Jefferson County,2001,111841
New York,Kings County,2001,2471596
New York,Lewis County,2001,26824
New York,Livingston County,2001,64455
New York,Madison County,2001,69446
New York,Monroe County,2001,738664
New York,Montgomery County,2001,49336
New York,Nassau County,2001,1342896
New York,New York County,2001,1562335
New York,Niagara County,2001,218363
New York,Oneida County,2001,233697
New York,Onondaga County,2001,457339
New York,Ontario County,2001,100791
New York,Orange County,2001,348896
New York,Orleans County,2001,43681
New York,Oswego County,2001,122176
New York,Otsego County,2001,61680
New York,Putnam County,2001,97000
New York,Queens County,2001,2234676
New York,Rensselaer County,2001,152253
New York,Richmond County,2001,453211
New York,Rockland County,2001,288602
New York,St. Lawrence County,2001,111202
New York,Saratoga County,2001,204104
New York,Schenectady County,2001,145997
New York,Schoharie County,2001,31758
New York,Schuyler County,2001,19252
New York,Seneca County,2001,34635
New York,Steuben County,2001,98935
New York,Suffolk County,2001,1448987
New York,Sullivan County,2001,74004
New York,Tioga County,2001,51449
New York,Tompkins County,2001,97575
New York,Ulster County,2001,178272
New York,Warren County,2001,63570
New York,Washington County,2001,61087
New York,Wayne County,2001,93478
New York,Westchester County,2001,935294
New York,Wyoming County,2001,42972
New York,Yates County,2001,24635
New York,Albany County,2002,296644
New York,Allegany County,2002,50103
New York,Bronx County,2002,1348285
New York,Broome County,2002,199714
New York,Cattaraugus County,2002,83126
New York,Cayuga County,2002,81240
New York,Chautauqua County,2002,137989
New York,Chemung County,2002,90409
New York,Chenango County,2002,51166
New York,Clinton County,2002,80525
New York,Columbia County,2002,62847
New York,Cortland County,2002,48410
New York,Delaware County,2002,47099
New York,Dutchess County,2002,286769
New York,Erie County,2002,940645
New York,Essex County,2002,38717
New York,Franklin County,2002,50558
New York,Fulton County,2002,54874
New York,Genesee County,2002,59647
New York,Greene County,2002,48226
New York,Hamilton County,2002,5252
New York,Herkimer County,2002,63388
New York,Jefferson County,2002,113936
New York,Kings County,2002,2477380
